"","country","continent","bmi","population","lifeexp_female","life_expectancy","che_gdp_pct","gdp","status","pop_mil","gdp_mil","gdp_per_cap"
"1","Afghanistan","Asia",22.9,34413603,64.7,63.2,10.1,19907111418.99,"Developing",34.413603,19907.11141899,578.466352941597
"2","Albania","Europe",26.7,2880703,78.2,76.1,NA,11386927679.09,"Developing",2.880703,11386.92767909,3952.82945832667
"3","Algeria","Africa",25.5,39728025,77.2,76.2,7,165978425168.39,"Developing",39.728025,165978.42516839,4177.86751715923
"4","Andorra","Europe",27,78011,NA,NA,10.3,2811489408.89,"Developing",0.078011,2811.48940889,36039.6534961736
"5","Angola","Africa",22.9,27884381,64.5,62.2,2.6,116193649124.15,"Developing",27.884381,116193.64912415,4166.97968386496
"6","Antigua and Barbuda","North America",26.6,93566,77.4,75,4.7,1336692592.59,"Developing",0.093566,1336.69259259,14286.0931598016
"7","Argentina","South America",27.6,43131966,80.1,76.8,8.8,594749285413.21,"Developing",43.131966,594749.28541321,13789.060424772
"8","Armenia","Asia",26.5,2925553,77.9,74.6,10.1,10553337672.99,"Developing",2.925553,10553.33767299,3607.29669672366
"9","Australia","Oceania",27.4,23815995,84.5,82.6,9.3,1351693984524.5,"Developed",23.815995,1351693.9845245,56755.7217124248
"10","Austria","Europe",26,8642699,83.8,81.4,10.4,381817565893.57,"Developed",8.642699,381817.56589357,44178.0473777428
"11","Azerbaijan","Asia",26.9,9649341,75.5,72.9,6.7,53074468085.11,"Developing",9.649341,53074.46808511,5500.32049702772
"12","Bahamas","North America",28,374206,78.5,75.6,5.7,11752300000,"Developing",0.374206,11752.3,31405.9635601781
"13","Bahrain","Asia",25,1371851,79.4,78.8,5,31125877659.57,"Developing",1.371851,31125.87765957,22688.9637865701
"14","Bangladesh","Asia",21.6,156256276,74,72.2,2.5,195078678697.23,"Developing",156.256276,195078.67869723,1248.45339778372
"15","Barbados","North America",27.9,285324,77.9,75.5,7,4725500000,"Developing",0.285324,4725.5,16561.8735192273
"16","Belarus","Europe",27.2,9489616,78.8,73.8,6.1,56454734396.58,"Developing",9.489616,56454.73439658,5949.10630699704
"17","Belgium","Europe",26.6,11274196,83.2,80.9,10.3,462149679343.82,"Developed",11.274196,462149.67934382,40991.8081381431
"18","Belize","North America",28.8,360933,73.2,70.3,5.9,1723785356.57,"Developing",0.360933,1723.78535657,4775.9150772304
"19","Benin","Africa",23.3,10575952,62,60.7,4,8294490789,"Developing",10.575952,8294.490789,784.278407182635
"20","Bhutan","Asia",23.8,727876,70.3,70.2,3.7,2003598213.03,"Developing",0.727876,2003.59821303,2752.66420795575
"21","Bolivia (Plurinational State of)","South America",26.2,10869730,73.7,71.2,6.6,33000198263.39,"Developing",10.86973,33000.19826339,3035.9722148931
"22","Bosnia and Herzegovina","Europe",26.1,3429361,79.6,77.1,9.3,16211540686.14,"Developing",3.429361,16211.54068614,4727.27738087066
"23","Botswana","Africa",23.8,2120716,67.9,65.3,5.7,14420604205.75,"Developing",2.120716,14420.60420575,6799.87523352962
"24","Brazil","South America",26.5,204471769,78.6,74.9,8.9,1802214373741.32,"Developing",204.471769,1802214.37374132,8814.00098681261
"25","Brunei Darussalam","Asia",27.2,414907,77.3,76.2,2.4,12930394937.81,"Developing",0.414907,12930.39493781,31164.5620291053
"26","Bulgaria","Europe",27,7177991,78.3,74.7,8.2,50201314894.58,"Developed",7.177991,50201.31489458,6993.78348267363
"27","Burkina Faso","Africa",22.1,18110624,60.4,59.8,5.8,10419303761.35,"Developing",18.110624,10419.30376135,575.314454176179
"28","Burundi","Africa",21.6,10160030,61.4,59.7,6.6,3104394858.12,"Developing",10.16003,3104.39485812,305.549772797915
"29","Cabo Verde","Africa",24.3,524743,74.7,73,4.8,1596800287.16,"Developing",0.524743,1596.80028716,3043.01398429326
"30","Cambodia","Asia",22,15521436,70.8,69,6.2,18049954289.42,"Developing",15.521436,18049.95428942,1162.90491997132
"31","Cameroon","Africa",24,23298368,58.8,57.2,4.7,30916218544.44,"Developing",23.298368,30916.21854444,1326.96927718027
"32","Canada","North America",27.3,35702908,84.5,82.6,10.5,1552899925233.71,"Developed",35.702908,1552899.92523371,43495.0543869903
"33","Central African Republic","Africa",22.5,4493170,53.5,52.6,6.3,1695143879.57,"Developing",4.49317,1695.14387957,377.271253829701
"34","Chad","Africa",21.5,14110975,54.9,53.7,4.5,10945989471.63,"Developing",14.110975,10945.98947163,775.707523514853
"35","Chile","South America",28,17969353,82.3,79.4,8.3,243919085308.79,"Developing",17.969353,243919.08530879,13574.1718307159
"36","China","Asia",23.9,1371220000,77.7,76.2,4.9,11015542352468.9,"Developing",1371.22,11015542.3524689,8033.3880431068
"37","Colombia","South America",26.1,47520667,78.6,74.9,7.3,293481748240.78,"Developing",47.520667,293481.74824078,6175.87602970261
"38","Comoros","Africa",24.3,777424,65.2,63.6,7.8,965640593.04,"Developing",0.777424,965.64059304,1242.10288470641
"39","Congo","Africa",22.9,4856095,64.8,63.6,3.4,8553154580.4,"Developing",4.856095,8553.1545804,1761.32356974071
"40","Cook Islands","Oceania",32.8,NA,NA,NA,2.9,NA,"Developing",NA,NA,NA
"41","Costa Rica","North America",27.2,4847804,82.1,79.4,7.8,54775994478.51,"Developing",4.847804,54775.99447851,11299.1355423012
"42","Cote d'Ivoire","Africa",23.6,23226143,55,53.9,4.4,33131114321.68,"Developing",23.226143,33131.11432168,1426.45786352387
"43","Croatia","Europe",27.9,4203604,80.6,77.5,6.8,49530656285.09,"Developed",4.203604,49530.65628509,11782.902548644
"44","Cuba","North America",25.8,11324781,81,78.8,12.8,8.7133e+10,"Developing",11.324781,87133,7694.01191952409
"45","Cyprus","Europe",27.1,1160985,82.9,80.5,6.8,19779150116.5,"Developed",1.160985,19779.1501165,17036.5251200489
"46","Czechia","Europe",27.9,10546059,81.5,78.6,7.2,186829940545.76,"Developed",10.546059,186829.94054576,17715.6168523009
"47","Democratic People's Republic of Korea","Asia",24.1,25183833,75.2,71.8,NA,NA,"Developing",25.183833,NA,NA
"48","Democratic Republic of the Congo","Africa",21.7,76244544,61.6,60.1,3.9,37917704900.08,"Developing",76.244544,37917.70490008,497.316960805484
"49","Denmark","Europe",25.7,5683483,82.8,80.9,10.2,302673068765.97,"Developed",5.683483,302673.06876597,53254.8560039627
"50","Djibouti","Africa",23.8,913993,65.3,63.6,4.4,2445484583.05,"Developing",0.913993,2445.48458305,2675.60537449412
"51","Dominica","North America",26.9,71183,NA,NA,5.4,540737037.04,"Developing",0.071183,540.73703704,7596.4350623042
"52","Dominican Republic","North America",26.3,10281680,76.4,73.3,6,71164826720.51,"Developing",10.28168,71164.82672051,6921.51737075167
"53","Ecuador","South America",27,16212020,78.8,76.3,8.6,99290381000,"Developing",16.21202,99290.381,6124.49164262072
"54","Egypt","Africa",29.3,92442547,72.6,70.3,5.3,332698041030.81,"Developing",92.442547,332698.04103081,3598.97094820213
"55","El Salvador","North America",27.3,6325124,77.9,73.4,7.6,2.3438e+10,"Developing",6.325124,23438,3705.54000206162
"56","Equatorial Guinea","Africa",23.9,1168568,61.7,59.4,2.9,13180195435.11,"Developing",1.168568,13180.19543511,11278.9289413282
"57","Eritrea","Africa",20.5,NA,66.7,64.6,2.9,NA,"Developing",NA,NA,NA
"58","Estonia","Europe",26.9,1315407,81.8,77.7,6.4,23048864242.61,"Developed",1.315407,23048.86424261,17522.2301862541
"59","Eswatini","Africa",26,1104044,59.6,57.3,7.1,4073390988.35,"Developing",1.104044,4073.39098835,3689.51870428171
"60","Ethiopia","Africa",20.4,100835458,66.8,65,3.9,64589334978.8,"Developing",100.835458,64589.3349788,640.541891313669
"61","Fiji","Oceania",27.6,868627,73,69.8,3.6,4682546863.08,"Developing",0.868627,4682.54686308,5390.74523711559
"62","Finland","Europe",26.6,5479531,84.2,81.4,9.7,234585368746.27,"Developing",5.479531,234585.36874627,42811.2129936431
"63","France","Europe",25.6,66548272,85.4,82.7,11.5,2438207896251.84,"Developed",66.548272,2438207.89625184,36638.184929157
"64","Gabon","Africa",24.8,1947686,67.5,65.9,2.7,14377324797.64,"Developing",1.947686,14377.32479764,7381.74674852107
"65","Gambia","Africa",23.5,2085860,63,61.6,3.1,1378176868.32,"Developing",2.08586,1378.17686832,660.723571246392
"66","Georgia","Asia",27.9,3725276,77.1,72.8,7.9,14953950557.44,"Developing",3.725276,14953.95055744,4014.18594419313
"67","Germany","Europe",27.3,81686611,83,80.6,11.1,3360549973888.58,"Developed",81.686611,3360549.97388858,41139.5445685533
"68","Ghana","Africa",23.7,27849205,64,63.1,4.6,49181854798.26,"Developing",27.849205,49181.85479826,1766.00570099793
"69","Greece","Europe",27.7,10820883,83.4,80.9,8.1,196591353761.23,"Developed",10.820883,196591.35376123,18167.7737169166
"70","Grenada","North America",26.7,109599,75.8,73.3,4.7,997007925.93,"Developing",0.109599,997.00792593,9096.8706459913
"71","Guatemala","North America",26.2,16252429,75.8,72.9,6,63767597193.92,"Developing",16.252429,63767.59719392,3923.57334364728
"72","Guinea","Africa",22.7,11432088,59,58.6,5.8,8794202443.67,"Developing",11.432088,8794.20244367,769.256013745695
"73","Guinea-Bissau","Africa",23.1,1737202,60.6,59.3,8.6,1047808175,"Developing",1.737202,1047.808175,603.158512942076
"74","Guyana","South America",26.1,767432,68.9,66.1,4.5,3197220338.98,"Developing",0.767432,3197.22033898,4166.12851559487
"75","Haiti","North America",25,10695542,65.6,63.3,8.6,8724656126.5,"Developing",10.695542,8724.6561265,815.728284410458
"76","Honduras","North America",26.4,9112916,77.3,75,7.7,20979767785.21,"Developing",9.112916,20979.76778521,2302.201379362
"77","Hungary","Europe",27.8,9843028,78.7,75.4,7,124529741437.18,"Developed",9.843028,124529.74143718,12651.5683423008
"78","Iceland","Europe",26.4,330815,84,82.4,8.2,17344165907.21,"Developed",0.330815,17344.16590721,52428.5957626166
"79","India","Asia",21.7,1310152403,70,68.5,3.6,2103587813812.75,"Developing",1310.152403,2103587.81381275,1605.60543109026
"80","Indonesia","Asia",23.1,258383256,71.2,69.1,3,860854235065.08,"Developing",258.383256,860854.23506508,3331.69512758629
"81","Iran (Islamic Republic of)","Asia",26,78492215,76.7,75.5,7.8,385874474398.59,"Developing",78.492215,385874.47439859,4916.08593793142
"82","Iraq","Asia",28.1,35572261,71.8,69.3,3.1,177498577312.92,"Developing",35.572261,177498.57731292,4989.80307473062
"83","Ireland","Europe",27.7,4701957,83.3,81.4,7.3,291499812103.65,"Developed",4.701957,291499.81210365,61995.4227789939
"84","Israel","Asia",27.4,8380100,84,82,7.1,299813121212.64,"Developing",8.3801,299813.12121264,35776.7951710171
"85","Italy","Europe",26.3,60730582,84.6,82.4,9,1835899237320.04,"Developed",60.730582,1835899.23732004,30230.2263021296
"86","Jamaica","North America",27.6,2891021,78.3,75.8,5.7,14187696311.36,"Developing",2.891021,14187.69631136,4907.50371974469
"87","Japan","Asia",22.9,127141000,87,84,10.9,4389475622588.97,"Developed",127.141,4389475.62258897,34524.4698609337
"88","Jordan","Asia",28.4,9266575,75.8,74.1,7.6,38043450704.23,"Developing",9.266575,38043.45070423,4105.44896083289
"89","Kazakhstan","Asia",26.3,17542806,74.9,70.6,3,184388432148.72,"Developing",17.542806,184388.43214872,10510.7718884151
"90","Kenya","Africa",23.1,47878336,68.4,66,5.2,64007750178.5,"Developing",47.878336,64007.7501785,1336.88334904747
"91","Kiribati","Oceania",30,110930,68.4,65.9,8,171117872.44,"Developing",0.11093,171.11787244,1542.57524961688
"92","Kuwait","Asia",29.4,3835591,75.9,74.6,4,114567298105.68,"Developing",3.835591,114567.29810568,29869.529390824
"93","Kyrgyzstan","Asia",26,5956900,74.8,71.1,7.1,6678178340.45,"Developing",5.9569,6678.17834045,1121.08283510719
"94","Lao People's Democratic Republic","Asia",22.6,6741164,67,65.5,2.5,14390442307.4,"Developing",6.741164,14390.4423074,2134.71179567802
"95","Latvia","Europe",27.3,1977527,79.3,74.8,5.7,27090019662.8,"Developed",1.977527,27090.0196628,13698.9379476488
"96","Lebanon","Asia",27.4,6532678,77.6,76.1,7.7,49973893200.66,"Developing",6.532678,49973.89320066,7649.83261086189
"97","Lesotho","Africa",24.4,2059021,53.8,52.1,8.4,2289799039.8,"Developing",2.059021,2289.7990398,1112.08144054869
"98","Liberia","Africa",23.9,4472230,63.2,62.1,10.3,3.177e+09,"Developing",4.47223,3177,710.383857717515
"99","Libya","Africa",27.8,6418315,75.1,72,NA,27842131479.87,"Developing",6.418315,27842.13147987,4337.91913919307
"100","Lithuania","Europe",27,2904910,79.6,74.4,6.5,41392396557.63,"Developed",2.90491,41392.39655763,14249.1149666014
"101","Luxembourg","Europe",26.7,569604,84.7,82.4,5.5,57744457954.73,"Developed",0.569604,57744.45795473,101376.496574339
"102","Madagascar","Africa",21.2,24234088,67.2,65.7,5.7,11323020828.58,"Developing",24.234088,11323.02082858,467.235277373756
"103","Malawi","Africa",22.8,16745303,66,63.4,9.3,6373212640.85,"Developing",16.745303,6373.21264085,380.597033141174
"104","Malaysia","Asia",25.6,30270962,77.5,75.1,3.9,301354756113.17,"Developing",30.270962,301354.75611317,9955.24212653598
"105","Maldives","Asia",24.9,454915,79.6,78.1,8.7,4109424799.72,"Developing",0.454915,4109.42479972,9033.39041297825
"106","Mali","Africa",22.8,17438778,57.8,57.4,4.1,13099497220.47,"Developing",17.438778,13099.49722047,751.170593516931
"107","Malta","Europe",27.7,445053,83.2,81.5,9.2,10715545898.63,"Developed",0.445053,10715.54589863,24077.0108248456
"108","Marshall Islands","Oceania",29.5,57439,NA,NA,17.6,184599600,"Developing",0.057439,184.5996,3213.83728825363
"109","Mauritania","Africa",24.6,4046301,65,63.7,4.7,4828858024.69,"Developing",4.046301,4828.85802469,1193.40059592452
"110","Mauritius","Africa",25.3,1262605,78,74.6,5.7,11692287066.38,"Developing",1.262605,11692.28706638,9260.44730250553
"111","Mexico","North America",27.8,121858258,78.9,76.2,5.8,1170564619927.69,"Developing",121.858258,1170564.61992769,9605.95235103139
"112","Micronesia (Federated States of)","Oceania",29.1,108895,70.6,69.3,12.5,316489947.49,"Developing",0.108895,316.48994749,2906.37722108453
"113","Monaco","Europe",NA,37718,NA,NA,2,6258844405.01,"Developing",0.037718,6258.84440501,165937.865343072
"114","Mongolia","Asia",25.9,2998439,74,69.6,4.2,11749620619.6,"Developing",2.998439,11749.6206196,3918.57917389682
"115","Montenegro","Europe",26.8,622159,79,76.6,NA,4052913385.83,"Developing",0.622159,4052.91338583,6514.27269529172
"116","Morocco","Africa",25.8,34663603,76.8,75.8,5.1,101179808076.36,"Developing",34.663603,101179.80807636,2918.90626823646
"117","Mozambique","Africa",22.6,27042002,60.9,59,5.3,15950969018.95,"Developing",27.042002,15950.96901895,589.859028149987
"118","Myanmar","Asia",22.6,52680726,68.7,66.5,5.2,59687410896.57,"Developing",52.680726,59687.41089657,1133.00281580345
"119","Namibia","Africa",23.7,2314904,65.7,63.4,9.9,11650656642.27,"Developing",2.314904,11650.65664227,5032.88976228388
"120","Nauru","Oceania",32.6,12475,NA,NA,13.3,99966636.16,"Developing",0.012475,99.96663616,8013.35760801603
"121","Nepal","Asia",22.3,27015031,70.5,69,6.2,21410840908.52,"Developing",27.015031,21410.84090852,792.552890593389
"122","Netherlands","Europe",26.1,16939923,83.1,81.5,10.3,765264949781,"Developed",16.939923,765264.949781,45175.2318933799
"123","New Zealand","Oceania",28.1,4595700,83.7,82,9.3,177208110322.7,"Developed",4.5957,177208.1103227,38559.5470380356
"124","Nicaragua","North America",26.8,6223240,78.2,75.2,8,12756706583.31,"Developing",6.22324,12756.70658331,2049.84968976128
"125","Niger","Africa",21.7,20001663,60.2,59.2,7.1,7217667780.6,"Developing",20.001663,7217.6677806,360.853384071115
"126","Nigeria","Africa",23,181137448,55.3,54.8,3.6,494583180777.1,"Developing",181.137448,494583.1807771,2730.43032370148
"127","Niue","Oceania",32.3,NA,NA,NA,8.2,NA,"Developing",NA,NA,NA
"128","Norway","Europe",27,5188607,84.1,82.3,10.1,385801550067.17,"Developed",5.188607,385801.55006717,74355.5158575645
"129","Oman","Asia",26,4267348,79.3,76.8,4.3,68921456436.93,"Developing",4.267348,68921.45643693,16150.8872575965
"130","Pakistan","Asia",23.7,199426964,67,66.1,2.7,270556131701.17,"Developing",199.426964,270556.13170117,1356.66775582649
"131","Palau","Oceania",29.5,17665,NA,NA,10.9,280376100,"Developing",0.017665,280.3761,15871.8426266629
"132","Panama","North America",26.8,3968487,81.1,77.9,6.8,54091700000,"Developing",3.968487,54091.7,13630.3079737945
"133","Papua New Guinea","Oceania",25.7,8107775,68.1,65.7,1.9,21723531182.14,"Developing",8.107775,21723.53118214,2679.34558891188
"134","Paraguay","South America",26.4,6688746,76,74.1,6.7,36164068797.25,"Developing",6.688746,36164.06879725,5406.70385708323
"135","Peru","South America",26.4,30470734,78.1,75.6,5,189805300841.6,"Developing",30.470734,189805.3008416,6229.10169612586
"136","Philippines","Asia",23,102113212,72.5,69.2,4.3,292774099013.69,"Developing",102.113212,292774.09901369,2867.1519902213
"137","Poland","Europe",27.1,37986412,81.3,77.4,6.4,477576866958.48,"Developed",37.986412,477576.86695848,12572.3078809991
"138","Portugal","Europe",26.3,10358076,84.3,81.3,9,199313894327.49,"Developed",10.358076,199313.89432749,19242.3664710985
"139","Qatar","Asia",29.1,2565710,79.7,78,3.1,161739835164.84,"Developing",2.56571,161739.83516484,63039.0165548094
"140","Republic of Korea","Asia",23.9,51014947,85.3,82.3,7,1382764027113.82,"Developing",51.014947,1382764.02711382,27105.076226264
"141","Republic of Moldova","Europe",27.3,2834530,74.6,70.8,8.6,7745231660.33,"Developing",2.83453,7745.23166033,2732.45711293583
"142","Republic of North Macedonia","Europe",26.9,2079328,77.8,75.7,6.3,10064515432.03,"Developing",2.079328,10064.51543203,4840.2731228695
"143","Romania","Europe",27.3,19815616,78.7,74.9,4.9,177893451831.14,"Developed",19.815616,177893.45183114,8977.43738227164
"144","Russian Federation","Europe/Asia",26.6,144096870,76.9,71.5,5.3,1363594369577.82,"Developing",144.09687,1363594.36957782,9463.03947877438
"145","Rwanda","Africa",22.2,11369071,68.4,67.6,6.5,8277614580.59,"Developing",11.369071,8277.61458059,728.081879389266
"146","Saint Kitts and Nevis","North America",29.3,51203,NA,NA,4.9,923155555.56,"Developing",0.051203,923.15555556,18029.325538738
"147","Saint Lucia","North America",29.8,179126,78.2,75.4,4.8,1659110888.89,"Developing",0.179126,1659.11088889,9262.25611519266
"148","Saint Vincent and the Grenadines","North America",27.1,109148,75.1,72.3,4.3,755400000,"Developing",0.109148,755.4,6920.87807380804
"149","Samoa","Oceania",31.8,193513,78.2,74.8,5.7,788307314.85,"Developing",0.193513,788.30731485,4073.66592864562
"150","San Marino","Europe",NA,33272,NA,NA,7.4,1523012088.28,"Developing",0.033272,1523.01208828,45774.5878901178
"151","Sao Tome and Principe","Africa",24.4,199432,70.5,68.5,5.4,318265835.26,"Developing",0.199432,318.26583526,1595.86142274058
"152","Saudi Arabia","Asia",28.4,31717667,76.3,74.6,6,654269902880,"Developing",31.717667,654269.90288,20627.9327820675
"153","Senegal","Africa",22.5,14578459,68.3,66.4,4.4,17767704596.93,"Developing",14.578459,17767.70459693,1218.76424640835
"154","Serbia","Europe",26.5,7095383,78.5,75.9,8.8,39628550868.75,"Developing",7.095383,39628.55086875,5585.11793778433
"155","Seychelles","Africa",26.9,93419,77.8,73.1,4.6,1377495054.04,"Developing",0.093419,1377.49505404,14745.3414620152
"156","Sierra Leone","Africa",22.7,7171914,52,51.4,20.4,4218723875.14,"Developing",7.171914,4218.72387514,588.228452703142
"157","Singapore","Asia",23.8,5535002,84.8,82.7,4.2,308004146057.61,"Developing",5.535002,308004.14605761,55646.6187469508
"158","Slovakia","Europe",26.9,5423801,80.6,77.1,6.8,88457167724.28,"Developed",5.423801,88457.16772428,16309.0732355925
"159","Slovenia","Europe",26.9,2063531,83.5,80.6,8.5,43090173061.97,"Developed",2.063531,43090.17306197,20881.7667686941
"160","Solomon Islands","Oceania",26.1,603118,72.4,70.9,5.2,1154650068.86,"Developing",0.603118,1154.65006886,1914.46792975836
"161","Somalia","Africa",22.8,13797201,57.1,55.6,NA,4048860871.41,"Developing",13.797201,4048.86087141,293.455235696718
"162","South Africa","Africa",27,55386367,66.7,63.3,8.2,317620522794.83,"Developing",55.386367,317620.52279483,5734.63362915336
"163","South Sudan","Africa",NA,10715658,59.1,58.2,NA,11997800751.06,"Developing",10.715658,11997.80075106,1119.65133182302
"164","Spain","Europe",26.6,46444832,85.4,82.7,9.1,1195119269971.52,"Developed",46.444832,1195119.26997152,25732.0183647455
"165","Sri Lanka","Asia",23.1,20970000,78.3,75.2,3.9,80604080688.58,"Developing",20.97,80604.08068858,3843.78067184454
"166","Sudan (former)","Africa",24.3,38902950,66.6,64.8,7.2,96741742021.67,"Developing",38.90295,96741.74202167,2486.74565866265
"167","Suriname","South America",26.5,559143,74.8,71.6,6.2,4787367928.12,"Developing",0.559143,4787.36792812,8561.9741785554
"168","Sweden","Europe",26.3,9799186,84,82.1,11,503650641896.13,"Developed",9.799186,503650.64189613,51397.1917561448
"169","Switzerland","Europe",25.7,8282396,84.9,83,11.9,679832391757.54,"Developed",8.282396,679832.39175754,82081.6092055415
"170","Syrian Arab Republic","Asia",27.7,17997408,68.3,63,NA,NA,"Developing",17.997408,NA,NA
"171","Tajikistan","Asia",25.4,8454028,72.8,70.6,6.9,7854602391.65,"Developing",8.454028,7854.60239165,929.095857223326
"172","Thailand","Asia",24.5,68714511,79.1,75.3,3.7,401295970240.34,"Developing",68.714511,401295.97024034,5840.04694787597
"173","Timor-Leste","Asia",21,1196302,70.1,68.3,3.5,3092624800,"Developing",1.196302,3092.6248,2585.15391598443
"174","Togo","Africa",23.3,7323158,61.1,60.2,6.2,4179185205.16,"Developing",7.323158,4179.18520516,570.680737075453
"175","Tonga","Oceania",31.8,100781,76.2,73.3,4.7,435438217.28,"Developing",0.100781,435.43821728,4320.63799009734
"176","Trinidad and Tobago","North America",27.7,1370328,75.4,71.7,6,25062893969.33,"Developing",1.370328,25062.89396933,18289.7043403696
"177","Tunisia","Africa",26.3,11179949,77.8,75.8,7,43173480831.97,"Developing",11.179949,43173.48083197,3861.68853113462
"178","Turkey","Europe/Asia",27.8,78529409,79.2,76.1,4.1,859796872677.61,"Developing",78.529409,859796.87267761,10948.7246068235
"179","Turkmenistan","Asia",26.1,5565287,71.3,67.8,6.3,35799714285.71,"Developing",5.565287,35799.71428571,6432.68070194942
"180","Tuvalu","Oceania",30.6,11099,NA,NA,16.7,35492333.86,"Developing",0.011099,35.49233386,3197.79564465267
"181","Uganda","Africa",22.3,38225453,64.5,62.1,6.8,27102650386.6,"Developing",38.225453,27102.6503866,709.021038589131
"182","Ukraine","Europe",26.8,45154029,76.8,72.1,6.9,91030959454.7,"Developing",45.154029,91030.9594547,2016.0096777787
"183","United Arab Emirates","Asia",28.4,9262900,78.5,77,3.6,358135057862.49,"Developing",9.2629,358135.05786249,38663.3838066361
"184","United Kingdom of Great Britain and Northern Ireland","Europe",27.4,65116219,82.9,81.1,9.7,2928591002002.51,"Developed",65.116219,2928591.00200251,44974.8318771781
"185","United Republic of Tanzania","Africa",22.9,51482633,65.4,63.4,3.6,47378599025.3,"Developing",51.482633,47378.5990253,920.283137525231
"186","United States of America","North America",29,320635163,81,78.6,16.8,18219297584000,"Developed",320.635163,18219297.584,56822.5188202456
"187","Uruguay","South America",27.5,3412009,80.6,76.8,9,53274304222.18,"Developing",3.412009,53274.30422218,15613.7642726558
"188","Uzbekistan","Asia",26.3,31298900,74.8,72.1,6.1,81847410181.8,"Developing",31.2989,81847.4101818,2615.02513448715
"189","Vanuatu","Oceania",26,271130,73.9,71.8,4.2,759689950.93,"Developing",0.27113,759.68995093,2801.9398477852
"190","Venezuela (Bolivarian Republic of)","South America",26.6,30081829,78.9,73.9,5.1,NA,"Developing",30.081829,NA,NA
"191","Viet Nam","Asia",21.7,92677076,80.7,76.2,5.7,193241108709.54,"Developing",92.677076,193241.10870954,2085.10148409883
"192","Yemen","Asia",23.3,26497889,66.2,64.5,4.2,42628328212.1,"Developing",26.497889,42628.3282121,1608.74431212615
"193","Zambia","Africa",22.1,15879361,63.6,61.7,4.4,21243350632.5,"Developing",15.879361,21243.3506325,1337.7963151351
"194","Zimbabwe","Africa",23.3,13814629,62.4,60.8,7.5,19963120600,"Developing",13.814629,19963.1206,1445.07106198798
